iter	Logloss
0	0.6300423664
1	0.5761582449
2	0.5167185061
3	0.4644722625
4	0.4205713408
5	0.3816562251
6	0.3449590763
7	0.3123731347
8	0.2847415117
9	0.2589861207
10	0.2365807281
11	0.2138028476
12	0.1932083674
13	0.1767203677
14	0.1602780167
15	0.1464519502
16	0.1336300558
17	0.1226232789
18	0.1127314778
19	0.1039014271
20	0.09576764933
21	0.08765758204
22	0.08139005822
23	0.0743640387
24	0.06849004423
25	0.06291440926
26	0.05863527612
27	0.0538528043
28	0.04976592473
29	0.04578392419
30	0.04271007913
31	0.03948629235
32	0.03719444297
33	0.03453287956
34	0.03240640016
35	0.03018672509
36	0.02832950655
37	0.0264188228
38	0.02484993471
39	0.02351156465
40	0.02188737686
41	0.02051719335
42	0.01941986613
43	0.01852213691
44	0.01756537274
45	0.01647805755
46	0.01566614209
47	0.01498352139
48	0.01424970788
49	0.0136900031
50	0.01299683762
51	0.01241224456
52	0.01191807727
53	0.0114193669
54	0.01099875144
55	0.01048128393
56	0.01004770361
57	0.009713781807
58	0.009265626946
59	0.008898547373
60	0.008485279803
61	0.008215712139
62	0.007893835869
63	0.007606705767
64	0.007357179247
65	0.007102204796
66	0.006875980097
67	0.006674709437
68	0.006443871278
69	0.006228794277
70	0.005998146434
71	0.005825450853
72	0.005537269965
73	0.005275487523
74	0.005049874313
75	0.004906338028
76	0.004797730372
77	0.004666113884
78	0.004520581794
79	0.004426388117
80	0.004298332809
81	0.004165402666
82	0.004043411772
83	0.003954416127
84	0.00385672742
85	0.003783084024
86	0.003669461117
87	0.003582180243
88	0.003503127242
89	0.003431686509
90	0.003371000013
91	0.003266310866
92	0.003186195778
93	0.003102277222
94	0.003035509579
95	0.002987717104
96	0.002924019589
97	0.00284850895
98	0.002802015975
99	0.00275184293
100	0.002690403218
101	0.002616807209
102	0.00255674223
103	0.002506550706
104	0.002442217399
105	0.002388495217
106	0.002340303364
107	0.002294731229
108	0.002252585893
109	0.002220075303
110	0.002183048685
111	0.002111019923
112	0.002069456195
113	0.00203271573
114	0.001998302499
115	0.001962917091
116	0.00192221081
117	0.001881963114
118	0.001853562796
119	0.001807048963
120	0.001778800527
121	0.001753650784
122	0.001729099744
123	0.001699692205
124	0.001674283523
125	0.001647282305
126	0.001615392863
127	0.001590974241
128	0.00156797183
129	0.001551407321
130	0.001536012621
131	0.001487648983
132	0.001467775312
133	0.001448405879
134	0.00142999387
135	0.001416473775
136	0.001398334325
137	0.001381864189
138	0.001362321079
139	0.001341998328
140	0.001307627876
141	0.001295989281
142	0.001278811764
143	0.001261338955
144	0.001247585875
145	0.001232192771
146	0.001218467672
147	0.001208191965
148	0.001190281413
149	0.001177589856
150	0.001167745526
151	0.001155324372
152	0.001146695045
153	0.001138049671
154	0.001123835151
155	0.001111864943
156	0.001103526085
157	0.001092788908
158	0.001082477315
159	0.001069724648
160	0.001059644835
161	0.001044367662
162	0.001036661125
163	0.001021132474
164	0.001008692839
165	0.0009965502061
166	0.0009846753641
167	0.0009763539743
168	0.0009642153885
169	0.0009567624525
170	0.0009458066646
171	0.0009370495748
172	0.0009284093332
173	0.0009180717499
174	0.0009082484272
175	0.000901199571
176	0.0008951301628
177	0.0008860463684
178	0.0008776842472
179	0.0008691648912
180	0.0008543759194
181	0.0008494644776
182	0.0008428002275
183	0.0008357364461
184	0.0008230562005
185	0.0008146317321
186	0.0008050127087
187	0.0007980145494
188	0.0007921606084
189	0.0007879823315
190	0.0007839626693
191	0.0007770290316
192	0.0007675290353
193	0.0007608565798
194	0.0007548888483
195	0.0007491139277
196	0.0007438965607
197	0.0007378531683
198	0.0007312585516
199	0.0007265979178
200	0.000720015481
201	0.0007138678252
202	0.0007073876912
203	0.0007027110243
204	0.000696950801
205	0.0006919707783
206	0.000687506856
207	0.0006799373508
208	0.0006756545305
209	0.0006712332776
210	0.000666144049
211	0.0006605393764
212	0.0006573833362
213	0.0006530180731
214	0.0006492173667
215	0.000645304671
216	0.00064147554
217	0.0006383580861
218	0.0006353713595
219	0.0006321980407
220	0.0006285838289
221	0.0006248985968
222	0.0006204797377
223	0.0006168101448
224	0.0006130962636
225	0.0006102178153
226	0.0006073733776
227	0.0006039560412
228	0.0006013826545
229	0.0005988340476
230	0.0005949545454
231	0.0005916868742
232	0.0005880689385
233	0.0005846127467
234	0.000579004744
235	0.0005761439163
236	0.0005718828343
237	0.0005681969751
238	0.0005650515178
239	0.0005650436467
240	0.0005607859978
241	0.0005580626184
242	0.0005580604178
243	0.0005545829056
244	0.000554583625
245	0.0005508727429
